robot,corridor_id,rollout_mode,solve_index,horizon_step,global_step,ref_index,ref_x,ref_y,ref_z,ref_theta,pred_x,pred_y,pred_z,pred_theta,executed_x,executed_y,executed_z,executed_theta,v_cmd,omega_cmd,first_control_applied,critical_point_target,critical_point_distance,critical_sequence_state,topology_sequence_valid,critical_point_status,current_topology_stage,corridor_override,manifold_override,corridor_safety_override,manifold_safety_override,phase,task_state,state_transition,task_cost,task_optimization_cost,risk_weight,tracking_weight,smoothness_weight,task_weight,tracking_error,control_norm,control_delta,risk_value,risk_query_valid,risk_query_source,risk_exceeded,safety_violation,constraint_violation,topology_class,distance_to_corridor,corridor_violation,corridor_constraint_status,distance_to_manifold,manifold_clearance,minimum_clearance,clearance_threshold,actual_clearance,progress,boundary_distance,manifold_violation,manifold_constraint_status,manifold_constraint_mode,risk_constraint_violation,soft_constraint_used,minor_violation,major_violation,clearance_constraint_violation,nearest_critical_point,critical_point_constraint_status,topology_class_constraint_status,topology_consistency_cost,corridor_cost,manifold_cost,step_cost,feasibility_status
arm,arm_c0001,rolling_window,3,0,3,3,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24965231722037812,-0.005183858191448704,0.3458783256683971,0.3458783256683971,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,True,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0046665823131619875,0.0046665823131619875,1.8,1.0,0.2,1.0,0.4625562848238851,0.108,0.0,1.4094665798948198,1,social_field_phi,0,0.0,4.625562848238852,left_bypass,0.06831238769917201,0.0,feasible,-0.1917503609681176,0.15629311729275197,0.34804347826086957,0.34804347826086957,0.15629311729275197,0.013043478260869565,0.15629311729275197,0.1917503609681176,soft_violation,soft,0.0,True,True,False,0.1917503609681176,,feasible,feasible,0.0,0.0,0.03676820093140339,217.08749636445629,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,1,3,4,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24406379239797166,-0.006955381963097972,0.33680803935341075,0.33680803935341075,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004532068420192037,0.004532068420192037,1.8,1.0,0.2,1.0,0.45175628482388513,0.108,0.0,1.4137672034033917,1,social_field_phi,0,0.0,4.5175628482388515,left_bypass,0.06732063888728357,0.0,feasible,-0.19706200146325678,0.15032930288456928,0.34739130434782606,0.34739130434782606,0.15032930288456928,0.017391304347826087,0.15032930288456928,0.19706200146325678,soft_violation,soft,0.0,True,True,False,0.19706200146325678,,feasible,feasible,0.0,0.0,0.03883343242070462,207.23117044593064,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,2,3,5,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2384752675755652,-0.00872690573474724,0.3277377530384244,0.3277377530384244,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.2,1.0,0.4409562848238851,0.108,0.0,1.417585555999323,1,social_field_phi,0,0.0,4.409562848238852,left_bypass,0.06805023532084283,0.0,feasible,-0.20181314898757896,0.14492598144720364,0.3467391304347826,0.3467391304347826,0.14492598144720364,0.021739130434782608,0.14492598144720364,0.20181314898757896,soft_violation,soft,0.0,True,True,False,0.20181314898757896,,feasible,feasible,0.0,0.0,0.040728547104282746,197.6062551117051,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,3,3,6,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.23288674275315874,-0.01049842950639651,0.31866746672343804,0.31866746672343804,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0049628806342521346,0.0049628806342521346,1.8,1.0,0.2,1.0,0.4301562848238851,0.108,6.938893903907228e-18,1.4208581712842918,1,social_field_phi,0,0.0,4.301562848238851,left_bypass,0.0704477156070524,0.0,feasible,-0.20593896013538382,0.14014799638635528,0.3460869565217391,0.3460869565217391,0.14014799638635528,0.02608695652173913,0.14014799638635528,0.20593896013538382,soft_violation,soft,0.0,True,True,False,0.20593896013538382,,feasible,feasible,0.0,0.0,0.04241085530164321,188.2122092254575,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,4,3,7,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22729821793075228,-0.01226995327804578,0.3095971804084517,0.3095971804084517,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005528206741282183,0.005528206741282183,1.8,1.0,0.2,1.0,0.41935628482388504,0.108,0.0,1.4235454824781306,1,social_field_phi,0,0.0,4.193562848238852,left_bypass,0.07435191148371495,0.0,feasible,-0.20937354020739865,0.136061242401297,0.34543478260869565,0.34543478260869565,0.136061242401297,0.030434782608695653,0.136061242401297,0.20937354020739865,soft_violation,soft,0.0,True,True,False,0.20937354020739865,,feasible,feasible,0.0,0.0,0.04383727933897918,179.04853079024576,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,5,3,8,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22170969310834582,-0.014041477049695049,0.30052689409346534,0.30052689409346534,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.006326812848312233,0.006326812848312233,1.8,1.0,0.2,1.0,0.40855628482388506,0.108,7.757919228897728e-18,1.4256317158048466,1,social_field_phi,0,0.0,4.08556284823885,left_bypass,0.07954126506607896,0.0,feasible,-0.2120530246668489,0.13272958402880325,0.34478260869565214,0.34478260869565214,0.13272958402880325,0.034782608695652174,0.13272958402880325,0.2120530246668489,soft_violation,soft,0.0,True,True,False,0.2120530246668489,,feasible,feasible,0.0,0.0,0.04496648527035922,170.11477807381345,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,6,3,9,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22177567186146702,-0.01474700278755048,0.2920325414303497,0.2920325414303497,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.2,1.0,0.4013664443190065,0.108,7.757919228897728e-18,1.4467310264194104,1,social_field_phi,0,0.0,3.977562848238851,left_bypass,0.07999999999999997,0.0,feasible,-0.21667872823261833,0.12745170654999036,0.3441304347826087,0.3441304347826087,0.12745170654999036,0.0391304347826087,0.12745170654999036,0.21667872823261833,soft_violation,soft,0.0,True,True,False,0.21667872823261833,,feasible,feasible,0.0,0.0,0.04694967126850487,161.45873609976488,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,7,3,10,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2230097669737264,-0.01516714277992988,0.28442881512365503,0.28442881512365503,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.39564117783894176,0.10799999999999996,0.0012210885588806635,1.4701232558624056,1,social_field_phi,0,0.0,3.9056644431900653,left_bypass,0.08,0.0,feasible,-0.22108432707663922,0.12239393379292596,0.3434782608695652,0.3434782608695652,0.12239393379292596,0.043478260869565216,0.12239393379292596,0.22108432707663922,soft_violation,soft,0.0,True,True,False,0.22108432707663922,,feasible,feasible,0.0,0.0,0.04887827967893039,155.84765072514654,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,8,3,11,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22472681817554563,-0.015424137382558514,0.27772795285505625,0.27772795285505625,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.2,1.0,0.3910163271433817,0.10799999999999996,0.0014014021055610486,1.4933590375413945,1,social_field_phi,0,0.0,3.848411778389418,left_bypass,0.08000000000000002,1.3877787807814457e-17,soft_violation,-0.2249986375275045,0.11782744942901721,0.3428260869565217,0.3428260869565217,0.11782744942901721,0.04782608695652174,0.11782744942901721,0.2249986375275045,soft_violation,soft,0.0,True,True,False,0.2249986375275045,,feasible,feasible,0.0,1.925929944387236e-34,0.05062438688923336,151.46388285780915,feasible_with_soft_violation
arm,arm_c0001,rolling_window,3,9,3,12,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22672439812494413,-0.015555584197131612,0.2719160193324689,0.2719160193324689,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.38735974517107774,0.10800000000000001,0.0014142185933554577,1.5157491583430613,1,social_field_phi,0,0.0,3.802163271433817,left_bypass,0.08,0.0,feasible,-0.22839647001492674,0.11377744302855147,0.3421739130434782,0.3421739130434782,0.11377744302855147,0.05217391304347826,0.11377744302855147,0.22839647001492674,soft_violation,soft,0.0,True,True,False,0.22839647001492674,,feasible,feasible,0.0,0.0,0.05216494751527933,147.97846775875522,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,0,4,4,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24406379239797166,-0.006955381963097972,0.33680803935341075,0.33680803935341075,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,True,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004532068420192037,0.004532068420192037,1.8,1.0,0.2,1.0,0.45175628482388513,0.108,0.0,1.4137672034033917,1,social_field_phi,0,0.0,4.5175628482388515,left_bypass,0.06732063888728357,0.0,feasible,-0.19706200146325678,0.15032930288456928,0.34739130434782606,0.34739130434782606,0.15032930288456928,0.017391304347826087,0.15032930288456928,0.19706200146325678,soft_violation,soft,0.0,True,True,False,0.19706200146325678,,feasible,feasible,0.0,0.0,0.03883343242070462,207.23117044593064,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,1,4,5,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2384752675755652,-0.00872690573474724,0.3277377530384244,0.3277377530384244,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.2,1.0,0.4409562848238851,0.108,0.0,1.417585555999323,1,social_field_phi,0,0.0,4.409562848238852,left_bypass,0.06805023532084283,0.0,feasible,-0.20181314898757896,0.14492598144720364,0.3467391304347826,0.3467391304347826,0.14492598144720364,0.021739130434782608,0.14492598144720364,0.20181314898757896,soft_violation,soft,0.0,True,True,False,0.20181314898757896,,feasible,feasible,0.0,0.0,0.040728547104282746,197.6062551117051,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,2,4,6,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.23288674275315874,-0.01049842950639651,0.31866746672343804,0.31866746672343804,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0049628806342521346,0.0049628806342521346,1.8,1.0,0.2,1.0,0.4301562848238851,0.108,6.938893903907228e-18,1.4208581712842918,1,social_field_phi,0,0.0,4.301562848238851,left_bypass,0.0704477156070524,0.0,feasible,-0.20593896013538382,0.14014799638635528,0.3460869565217391,0.3460869565217391,0.14014799638635528,0.02608695652173913,0.14014799638635528,0.20593896013538382,soft_violation,soft,0.0,True,True,False,0.20593896013538382,,feasible,feasible,0.0,0.0,0.04241085530164321,188.2122092254575,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,3,4,7,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22729821793075228,-0.01226995327804578,0.3095971804084517,0.3095971804084517,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005528206741282183,0.005528206741282183,1.8,1.0,0.2,1.0,0.41935628482388504,0.108,0.0,1.4235454824781306,1,social_field_phi,0,0.0,4.193562848238852,left_bypass,0.07435191148371495,0.0,feasible,-0.20937354020739865,0.136061242401297,0.34543478260869565,0.34543478260869565,0.136061242401297,0.030434782608695653,0.136061242401297,0.20937354020739865,soft_violation,soft,0.0,True,True,False,0.20937354020739865,,feasible,feasible,0.0,0.0,0.04383727933897918,179.04853079024576,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,4,4,8,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22170969310834582,-0.014041477049695049,0.30052689409346534,0.30052689409346534,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.006326812848312233,0.006326812848312233,1.8,1.0,0.2,1.0,0.40855628482388506,0.108,7.757919228897728e-18,1.4256317158048466,1,social_field_phi,0,0.0,4.08556284823885,left_bypass,0.07954126506607896,0.0,feasible,-0.2120530246668489,0.13272958402880325,0.34478260869565214,0.34478260869565214,0.13272958402880325,0.034782608695652174,0.13272958402880325,0.2120530246668489,soft_violation,soft,0.0,True,True,False,0.2120530246668489,,feasible,feasible,0.0,0.0,0.04496648527035922,170.11477807381345,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,5,4,9,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22177567186146702,-0.01474700278755048,0.2920325414303497,0.2920325414303497,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.2,1.0,0.4013664443190065,0.108,7.757919228897728e-18,1.4467310264194104,1,social_field_phi,0,0.0,3.977562848238851,left_bypass,0.07999999999999997,0.0,feasible,-0.21667872823261833,0.12745170654999036,0.3441304347826087,0.3441304347826087,0.12745170654999036,0.0391304347826087,0.12745170654999036,0.21667872823261833,soft_violation,soft,0.0,True,True,False,0.21667872823261833,,feasible,feasible,0.0,0.0,0.04694967126850487,161.45873609976488,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,6,4,10,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2230097669737264,-0.01516714277992988,0.28442881512365503,0.28442881512365503,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.39564117783894176,0.10799999999999996,0.0012210885588806635,1.4701232558624056,1,social_field_phi,0,0.0,3.9056644431900653,left_bypass,0.08,0.0,feasible,-0.22108432707663922,0.12239393379292596,0.3434782608695652,0.3434782608695652,0.12239393379292596,0.043478260869565216,0.12239393379292596,0.22108432707663922,soft_violation,soft,0.0,True,True,False,0.22108432707663922,,feasible,feasible,0.0,0.0,0.04887827967893039,155.84765072514654,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,7,4,11,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22472681817554563,-0.015424137382558514,0.27772795285505625,0.27772795285505625,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.2,1.0,0.3910163271433817,0.10799999999999996,0.0014014021055610486,1.4933590375413945,1,social_field_phi,0,0.0,3.848411778389418,left_bypass,0.08000000000000002,1.3877787807814457e-17,soft_violation,-0.2249986375275045,0.11782744942901721,0.3428260869565217,0.3428260869565217,0.11782744942901721,0.04782608695652174,0.11782744942901721,0.2249986375275045,soft_violation,soft,0.0,True,True,False,0.2249986375275045,,feasible,feasible,0.0,1.925929944387236e-34,0.05062438688923336,151.46388285780915,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,8,4,12,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22672439812494413,-0.015555584197131612,0.2719160193324689,0.2719160193324689,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.38735974517107774,0.10800000000000001,0.0014142185933554577,1.5157491583430613,1,social_field_phi,0,0.0,3.802163271433817,left_bypass,0.08,0.0,feasible,-0.22839647001492674,0.11377744302855147,0.3421739130434782,0.3421739130434782,0.11377744302855147,0.05217391304347826,0.11377744302855147,0.22839647001492674,soft_violation,soft,0.0,True,True,False,0.22839647001492674,,feasible,feasible,0.0,0.0,0.05216494751527933,147.97846775875522,feasible_with_soft_violation
arm,arm_c0001,rolling_window,4,9,4,13,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2288418260712467,-0.015595301018247338,0.2669348995272122,0.2669348995272122,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.38451911933011856,0.108,0.0013712057315792225,1.536814226207063,1,social_field_phi,0,0.0,3.7655974517107773,left_bypass,0.08,0.0,feasible,-0.2312851119515516,0.11023662717888318,0.34152173913043476,0.34152173913043476,0.11023662717888318,0.05652173913043478,0.11023662717888318,0.2312851119515516,soft_violation,soft,0.0,True,True,False,0.2312851119515516,,feasible,feasible,0.0,0.0,0.05349280301044176,145.26025704975558,feasible_with_soft_violation
arm,arm_c0001,rolling_window,5,0,5,5,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2384752675755652,-0.00872690573474724,0.3277377530384244,0.3277377530384244,0.2384752675755652,-0.00872690573474724,0.3277377530384244,,,,True,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.2,1.0,0.4409562848238851,0.108,0.0,1.417585555999323,1,social_field_phi,0,0.0,4.409562848238852,left_bypass,0.06805023532084283,0.0,feasible,-0.20181314898757896,0.14492598144720364,0.3467391304347826,0.3467391304347826,0.14492598144720364,0.021739130434782608,0.14492598144720364,0.20181314898757896,soft_violation,soft,0.0,True,True,False,0.20181314898757896,,feasible,feasible,0.0,0.0,0.040728547104282746,197.6062551117051,feasible_with_soft_violation
